ID,Price,Housing Type,Size,Note,Provider Type,Address,Rent Price Info,Listing Date
1512232,1250,Wohnung,20,1 Schlafzimmer,Vermietungsunternehmen,Hauptstra�e,(Nebenkosten inklusive),4. Juli
1000531,1290,Studio,36,Max. 2 Personen,Vermietungsunternehmen,Glasgower Stra�e,(Nebenkosten inklusive),1. Juni
1362048,675,WG-Zimmer,12,3  Mitbewohner(innen),Vermietungsunternehmen,Lienemannstra�e,(Nebenkosten inklusive),12. Juni
998871,1400,Studio,35,Max. 2 Personen,Vermietungsunternehmen,Guineastra�e,(Nebenkosten inklusive),10. Juni
1272124,1395,Studio,41,Max. 2 Personen,WG,Brunnenstra�e,(Nebenkosten inklusive),10. Juli
1465804,750,WG-Zimmer,12,3  Mitbewohner(innen),WG,Sickingenstra�e,(Nebenkosten inklusive),24. Mai
1514703,900,WG-Zimmer,15,5  Mitbewohner(innen),Vermietungsunternehmen,Turiner Stra�e,(Nebenkosten inklusive),24. Mai
1477328,670,WG-Zimmer,11,2  Mitbewohner(innen),Privater Vermieter,F�rberstra�e,(Nebenkosten inklusive),24. Mai
1053149,1900,Wohnung,60,2 Schlafzimmer,Vermietungsunternehmen,Brunnenstra�e,(Nebenkosten inklusive),24. Mai
1468284,750,WG-Zimmer,21,,Vermietungsunternehmen,M�llerstra�e,(Nebenkosten exklusive),20. Juni
1443718,1320,Studio,27,Max. 1 Person,Vermietungsunternehmen,Braunschweiger Stra�e,(Nebenkosten inklusive),7. Nov.
1514689,910,WG-Zimmer,18,2  Mitbewohner(innen),Vermietungsunternehmen,Turiner Stra�e,(Nebenkosten inklusive),24. Mai
1132905,689,WG-Zimmer,9,3  Mitbewohner(innen),Vermietungsunternehmen,Bornholmer Stra�e,(Nebenkosten inklusive),6. Juni
1486640,700,WG-Zimmer,10.02,3  Mitbewohner(innen),Studentenwohnungen,Leibnizstra�e,(Nebenkosten inklusive),24. Mai
1519509,750,WG-Zimmer,16,2  Mitbewohner(innen),Vermietungsunternehmen,Forckenbeckstra�e,(Nebenkosten exklusive),31. Mai
1506983,795,WG-Zimmer,22,3  Mitbewohner(innen),Vermietungsunternehmen,Liebenwalder Stra�e,(Nebenkosten inklusive),4. Juni
1115089,650,WG-Zimmer,13,5  Mitbewohner(innen),Vermietungsunternehmen,Residenzstra�e,(Nebenkosten inklusive),16. Juni
1225948,859,WG-Zimmer,15,3  Mitbewohner(innen),Vermietungsunternehmen,Hermannstra�e,(Nebenkosten inklusive),5. Juli
1493863,710,WG-Zimmer,11,3  Mitbewohner(innen),Vermietungsunternehmen,Simmelstra�e,(Nebenkosten inklusive),1. Aug.
1317894,750,WG-Zimmer,17,2  Mitbewohner(innen),Vermietungsunternehmen,Glockenturmstra�e,(Nebenkosten inklusive),1. Aug.
1090372,670,WG-Zimmer,8,3  Mitbewohner(innen),Vermietungsunternehmen,Badensche Stra�e,(Nebenkosten inklusive),1. Aug.
1220714,1300,Haus,50,1 Schlafzimmer,Privater Vermieter,Albrecht-D�rer-Stra�e,(Nebenkosten inklusive),24. Mai
1510998,1735,Wohnung,76,2 Schlafzimmer,Vermietungsunternehmen,Donaustra�e,(Nebenkosten inklusive),1. Juni
1444076,1735,Wohnung,52,1 Schlafzimmer,Vermietungsunternehmen,Braunschweiger Stra�e,(Nebenkosten inklusive),3. Juni
1452113,825,WG-Zimmer,12,3  Mitbewohner(innen),Vermietungsunternehmen,Tauroggener Stra�e,(Nebenkosten inklusive),4. Juni
1025928,950,WG-Zimmer,16,2  Mitbewohner(innen),WG,Stralauer Allee,(Nebenkosten inklusive),17. Juni
1100932,660,WG-Zimmer,13,3  Mitbewohner(innen),Vermietungsunternehmen,Stephanstra�e,(Nebenkosten inklusive),1. Aug.
1027565,950,WG-Zimmer,17,2  Mitbewohner(innen),Vermietungsunternehmen,Markgrafendamm,(Nebenkosten inklusive),1. Aug.
1014174,1600,Wohnung,36,1 Schlafzimmer,Vermietungsunternehmen,Brunnenstra�e,(Nebenkosten inklusive),11. Nov.
1515486,845,WG-Zimmer,12,3  Mitbewohner(innen),Vermietungsunternehmen,Einbecker Stra�e,(Nebenkosten inklusive),4. Aug.
1189492,1040,Studio,22,Max. 1 Person,Studentenwohnungen,Reinickendorfer Stra�e,(Nebenkosten inklusive),24. Mai
1270897,610,WG-Zimmer,11,3  Mitbewohner(innen),Vermietungsunternehmen,Glienicker Stra�e,(Nebenkosten inklusive),1. Juni
1451733,956,WG-Zimmer,13,4  Mitbewohner(innen),Vermietungsunternehmen,Wilhelmstra�e,(Nebenkosten inklusive),19. Juli
1108034,740,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Greifswalder Stra�e,(Nebenkosten exklusive),1. Aug.
1028541,670,WG-Zimmer,8,3  Mitbewohner(innen),Vermietungsunternehmen,Ratiborstra�e,(Nebenkosten inklusive),1. Aug.
1467013,1385,Studio,31,Max. 2 Personen,Vermietungsunternehmen,Braunschweiger Stra�e,(Nebenkosten inklusive),26. Sept.
1501508,795,WG-Zimmer,16,3  Mitbewohner(innen),Vermietungsunternehmen,Klara-Franke-Stra�e,(Nebenkosten inklusive),24. Mai
1110668,1000,Studio,18,Max. 2 Personen,Vermietungsunternehmen,Buchholzer Stra�e,(Nebenkosten inklusive),1. Okt.
1514665,780,WG-Zimmer,10,5  Mitbewohner(innen),Vermietungsunternehmen,Turiner Stra�e,(Nebenkosten inklusive),24. Mai
1432927,1400,Wohnung,40,1 Schlafzimmer,Vermietungsunternehmen,P�cklerstra�e,(Nebenkosten inklusive),1. Juli
1414724,1850,Wohnung,55,2 Schlafzimmer,Privater Vermieter,Koppenstra�e,(Nebenkosten inklusive),1. Juli
891094,610,WG-Zimmer,9,5  Mitbewohner(innen),Vermietungsunternehmen,Pl�nzeile,(Nebenkosten inklusive),1. Juli
632413,1400,Wohnung,45,1 Schlafzimmer,Vermietungsunternehmen,B�ckhstra�e,(Nebenkosten inklusive),1. Juli
1374151,630,WG-Zimmer,9,4  Mitbewohner(innen),Vermietungsunternehmen,Lutherstra�e,(Nebenkosten inklusive),16. Juli
1374144,630,WG-Zimmer,10,4  Mitbewohner(innen),Vermietungsunternehmen,Lutherstra�e,(Nebenkosten inklusive),1. Aug.
1441420,836,WG-Zimmer,12,4  Mitbewohner(innen),Vermietungsunternehmen,Klara-Franke-Stra�e,(Nebenkosten inklusive),19. Juli
1508515,650,WG-Zimmer,14,4  Mitbewohner(innen),Vermietungsunternehmen,Glienicker Stra�e,(Nebenkosten inklusive),1. Aug.
1446508,1725,Wohnung,59,1 Schlafzimmer,Privater Vermieter,Gr�nauer Stra�e,(einige Nebenkosten inklusive),1. Aug.
1010319,720,WG-Zimmer,23,2  Mitbewohner(innen),Vermietungsunternehmen,Treseburger Ufer,(Nebenkosten inklusive),1. Aug.
1303686,1900,Wohnung,54,1 Schlafzimmer,Privater Vermieter,Keithstra�e,(Nebenkosten inklusive),2. Aug.
1197060,1100,Studio,30,Max. 2 Personen,Vermietungsunternehmen,Gustav-M�ller-Stra�e,(Nebenkosten inklusive),17. Aug.
1513346,1650,Wohnung,55,1 Schlafzimmer,Vermietungsunternehmen,Schulzendorfer Stra�e,(Nebenkosten inklusive),24. Mai
1505591,1920,Wohnung,58,1 Schlafzimmer,Privater Vermieter,Kaiserdamm,(Nebenkosten inklusive),24. Mai
1102783,710,WG-Zimmer,16,7  Mitbewohner(innen),Vermietungsunternehmen,Martin-Luther-Stra�e,(Nebenkosten inklusive),1. Aug.
1485495,772,WG-Zimmer,12,4  Mitbewohner(innen),Vermietungsunternehmen,M�llerstra�e,(Nebenkosten inklusive),4. Aug.
1462180,851,WG-Zimmer,12,4  Mitbewohner(innen),Vermietungsunternehmen,Klara-Franke-Stra�e,(Nebenkosten inklusive),4. Aug.
1422740,1300,Studio,18,Max. 2 Personen,Vermietungsunternehmen,Paul-Robeson-Stra�e,(Nebenkosten inklusive),1. Aug.
998553,680,WG-Zimmer,9,2  Mitbewohner(innen),Vermietungsunternehmen,Kottbusser Damm,(Nebenkosten inklusive),1. Juni
1421247,1802,Wohnung,64,1 Schlafzimmer,Vermietungsunternehmen,Sredzkistra�e,(Nebenkosten exklusive),4. Juni
1375551,2300,Wohnung,60,2 Schlafzimmer,Vermietungsunternehmen,Bergstra�e,(Nebenkosten inklusive),1. Aug.
885896,700,WG-Zimmer,8,4  Mitbewohner(innen),Vermietungsunternehmen,Wilsnacker Stra�e,(Nebenkosten inklusive),16. Aug.
1196496,1842,Wohnung,35,1 Schlafzimmer,Vermietungsunternehmen,L�tzowstra�e,(Nebenkosten exklusive),4. Aug.
1466656,1700,Wohnung,40,1 Schlafzimmer,Vermietungsunternehmen,Krausnickstra�e,(Nebenkosten inklusive),1. Okt.
1261238,1700,Wohnung,45,1 Schlafzimmer,Vermietungsunternehmen,Brunnenstra�e,(Nebenkosten inklusive),1. Okt.
1441540,1700,Wohnung,50,1 Schlafzimmer,Vermietungsunternehmen,Brunnenstra�e,(Nebenkosten inklusive),1. Nov.
1495599,895,WG-Zimmer,16,3  Mitbewohner(innen),Vermietungsunternehmen,Klara-Franke-Stra�e,(Nebenkosten inklusive),24. Mai
1506529,895,WG-Zimmer,16,6  Mitbewohner(innen),Vermietungsunternehmen,Delbr�ckstra�e,(Nebenkosten inklusive),24. Mai
1135397,630,WG-Zimmer,30,5  Mitbewohner(innen),Studentenwohnungen,Schnellerstra�e,(Nebenkosten inklusive),24. Mai
1084975,2000,Wohnung,80,2 Schlafzimmer,Vermietungsunternehmen,Schl�terstra�e,(Nebenkosten inklusive),24. Mai
1517800,325,Mehrbettzimmer,16,9  Mitbewohner(innen),Vermietungsunternehmen,Wilhelminenhofstra�e,(Nebenkosten inklusive),24. Mai
1517799,325,Mehrbettzimmer,16,9  Mitbewohner(innen),Vermietungsunternehmen,Wilhelminenhofstra�e,(Nebenkosten inklusive),24. Mai
1517798,325,Mehrbettzimmer,16,9  Mitbewohner(innen),Vermietungsunternehmen,Wilhelminenhofstra�e,(Nebenkosten inklusive),24. Mai
1517797,325,Mehrbettzimmer,16,9  Mitbewohner(innen),Vermietungsunternehmen,Wilhelminenhofstra�e,(Nebenkosten inklusive),24. Mai
1517796,325,Mehrbettzimmer,16,9  Mitbewohner(innen),Vermietungsunternehmen,Wilhelminenhofstra�e,(Nebenkosten inklusive),24. Mai
1517795,325,Mehrbettzimmer,16,9  Mitbewohner(innen),Vermietungsunternehmen,Wilhelminenhofstra�e,(Nebenkosten inklusive),24. Mai
1517794,325,Mehrbettzimmer,16,9  Mitbewohner(innen),Vermietungsunternehmen,Wilhelminenhofstra�e,(Nebenkosten inklusive),24. Mai
