id,price,size,housing_type,address,housing_type_1,provider_type,rent_price_info,listing_day,listing_month,listing_year,listing_date
1357583,2604,27,Studio,Franklinstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),15,7,2024,2024-07-15
1518533,1990,66,Wohnung,Kolberger Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
1226050,1690,35,Studio,Am Flughafen,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),10,6,2024,2024-06-10
751721,2250,55,Wohnung,Luebbener Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,6,2024,2024-06-01
1522117,711,12,WG-Zimmer,Rathenaustrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),2,7,2024,2024-07-02
1269571,1530,51,Wohnung,Emdener Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),2,7,2024,2024-07-02
1422770,1400,21,Studio,Paul-Robeson-Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1422765,1400,27,Studio,Paul-Robeson-Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1043981,1050,33,Studio,Strasse am Schildhorn,Studio,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
1481411,1117,28,Wohnung,Crailsheimer Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1283299,1000,14,WG-Zimmer,Bredowstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten exklusive),1,7,2024,2024-07-01
1072967,2300,75,Wohnung,Eislebener Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1411980,2300,55,Wohnung,Bernhard-Lichtenberg-Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),13,7,2024,2024-07-13
1248267,879,33,Studio,Seddinpromenade,Studio,Privater Vermieter,(einige Nebenkosten inklusive),3,6,2024,2024-06-03
1450563,665,11,WG-Zimmer,Schoenhauser Allee,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),7,8,2024,2024-08-07
1514679,1580,55,Wohnung,Wrangelstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1361959,1100,15,WG-Zimmer,Martin-Opitz-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten exklusive),1,7,2024,2024-07-01
1264225,799,20,WG-Zimmer,Malchower Weg,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1477328,670,11,WG-Zimmer,Faerberstrasse,WG-Zimmer,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
1426334,2132,19,Studio,Albrecht-Achilles-Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),5,6,2024,2024-06-05
1138364,2073,24,Studio,Muellerstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),12,6,2024,2024-06-12
1074424,2300,80,Wohnung,Johann-Georg-Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1105763,2400,57,Wohnung,Bismarckstrasse,Wohnung,Co-living,(Nebenkosten inklusive),1,6,2024,2024-06-01
1032478,790,16,WG-Zimmer,Brueckenstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1046998,2650,99,Wohnung,Maybachufer,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),18,9,2024,2024-09-18
1303113,2495,74,Wohnung,Tempelhofer Ufer,Wohnung,Vermietungsunternehmen,(Nebenkosten exklusive),16,8,2024,2024-08-16
1074048,2700,92,Wohnung,Kaiser-Friedrich-Strasse,Wohnung,Vermietungsunternehmen,(einige Nebenkosten inklusive),1,10,2024,2024-10-01
1521843,850,15,WG-Zimmer,Emser Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1521826,850,10,WG-Zimmer,Emser Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,6,2024,2024-06-01
1306134,2352,66,Wohnung,Goebenstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten exklusive),29,6,2024,2024-06-29
1259907,3018,85,Wohnung,Stralauer Allee,Wohnung,Vermietungsunternehmen,(Nebenkosten exklusive),15,6,2024,2024-06-15
1472134,999,15,WG-Zimmer,Revaler Strasse,WG-Zimmer,Privater Vermieter,(Nebenkosten inklusive),1,7,2024,2024-07-01
1464495,999,20,WG-Zimmer,Urbanstrasse,WG-Zimmer,Privater Vermieter,(Nebenkosten inklusive),1,7,2024,2024-07-01
1317884,1586,56,Wohnung,Marie-Elisabeth-von-Humboldt-Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),1,7,2024,2024-07-01
917653,2450,61,Wohnung,Andreasstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),13,7,2024,2024-07-13
1471933,870,10,WG-Zimmer,Boyenstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),19,7,2024,2024-07-19
1462925,999,29,WG-Zimmer,Revaler Strasse,WG-Zimmer,Privater Vermieter,(Nebenkosten inklusive),4,8,2024,2024-08-04
1499138,1500,70,Wohnung,Kantstrasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
1360955,1038,23,WG-Zimmer,Paul-Robeson-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten exklusive),31,5,2024,2024-05-31
1278493,1495,53,Wohnung,Parksiedlung Spruch,Wohnung,Privater Vermieter,(einige Nebenkosten inklusive),1,9,2024,2024-09-01
1181484,1690,41,Wohnung,Grossbeerenstraße,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1270379,750,13,WG-Zimmer,Glockenturmstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),30,9,2024,2024-09-30
1273632,1595,36,Studio,Flensburger Strasse,Studio,Privater Vermieter,(einige Nebenkosten inklusive),31,5,2024,2024-05-31
868766,625,14,WG-Zimmer,Wilsnacker Strasse,WG-Zimmer,Studentenwohnungen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1255977,1499,32,Wohnung,Koloniestrasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),12,8,2024,2024-08-12
692540,710,15,WG-Zimmer,Alt-Friedrichsfelde,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),16,8,2024,2024-08-16
991766,1210,28,Studio,Beusselstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),30,6,2024,2024-06-30
1192835,1495,45,Wohnung,Prenzlauer Allee,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1489809,765,11,WG-Zimmer,Tempelhofer Ufer,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),4,8,2024,2024-08-04
1473770,825,10,WG-Zimmer,Archibaldweg,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),4,8,2024,2024-08-04
1242313,2257,50,Wohnung,Erich-Weinert-Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten exklusive),28,8,2024,2024-08-28
1254600,2000,70,Wohnung,Uhlandstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1384897,1600,50,Wohnung,Fehrbelliner Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),1,11,2024,2024-11-01
1505116,1750,38,Wohnung,Gierkeplatz,Wohnung,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
878265,620,15,WG-Zimmer,Buschkrugallee,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),16,9,2024,2024-09-16
1500738,2200,52,Wohnung,Erich-Nehlhans-Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
1077386,1800,28,Wohnung,Baenschstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
993929,1800,30,Wohnung,Pappelallee,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1520378,995,11,WG-Zimmer,Klara-Franke-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),4,7,2024,2024-07-04
1043680,2200,65,Wohnung,Buchholzer Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1246885,1800,45,Wohnung,Behmstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),20,8,2024,2024-08-20
1086894,1550,42,Wohnung,Goethestrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,10,2024,2024-10-01
915291,795,18,WG-Zimmer,Leibnizstrasse,WG-Zimmer,Co-living,(Nebenkosten inklusive),1,10,2024,2024-10-01
1360957,1128,27,WG-Zimmer,Paul-Robeson-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten exklusive),31,5,2024,2024-05-31
1360956,1128,31,WG-Zimmer,Paul-Robeson-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten exklusive),31,5,2024,2024-05-31
1360954,1128,27,WG-Zimmer,Paul-Robeson-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten exklusive),31,5,2024,2024-05-31
1352067,1128,32,WG-Zimmer,Paul-Robeson-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten exklusive),31,5,2024,2024-05-31
1126386,1350,45,Studio,Uhlandstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1450174,2500,80,Haus,Cunostrasse,Haus,Privater Vermieter,(Nebenkosten exklusive),31,5,2024,2024-05-31
1428499,1900,54,Wohnung,Witzlebenstrasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),1,7,2024,2024-07-01
1448214,943,11,WG-Zimmer,Muellerstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),19,7,2024,2024-07-19
1519156,1000,23,Studio,Urbanstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,10,2024,2024-10-01
1134187,1000,23,Studio,Urbanstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),8,10,2024,2024-10-08
1223371,1350,27,Wohnung,Koepenicker Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),9,10,2024,2024-10-09
1190243,500,20,Mehrbettzimmer,Alt-Moabit,Mehrbettzimmer,Studentenwohnungen,(Nebenkosten inklusive),1,6,2024,2024-06-01
1047663,1490,22,Studio,Reinickendorfer Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,6,2024,2024-06-01
1047658,1490,22,Studio,Reinickendorfer Strasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,6,2024,2024-06-01
1517628,500,20,Mehrbettzimmer,Alt-Moabit,Mehrbettzimmer,Studentenwohnungen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1521711,1490,50,Haus,Beizerweg,Haus,Privater Vermieter,(Nebenkosten inklusive),1,8,2024,2024-08-01
1317899,795,15,WG-Zimmer,Glockenturmstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1288864,700,16,WG-Zimmer,Manteuffelstrasse,WG-Zimmer,Studentenwohnungen,(Nebenkosten exklusive),1,8,2024,2024-08-01
1428499,1900,54,Wohnung,Witzlebenstrasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),1,7,2024,2024-07-01
1448214,943,11,WG-Zimmer,Muellerstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),19,7,2024,2024-07-19
1519156,1000,23,Studio,Urbanstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,10,2024,2024-10-01
1134187,1000,23,Studio,Urbanstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),8,10,2024,2024-10-08
1223371,1350,27,Wohnung,Koepenicker Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),9,10,2024,2024-10-09
1496798,845,16,WG-Zimmer,Klara-Franke-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1495380,845,16,WG-Zimmer,Klara-Franke-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),31,5,2024,2024-05-31
1281042,2450,80,Wohnung,Cosmarweg,Wohnung,Privater Vermieter,(Nebenkosten inklusive),1,6,2024,2024-06-01
1452400,699,20,WG-Zimmer,Hertzstrasse,WG-Zimmer,Privater Vermieter,(Nebenkosten inklusive),1,8,2024,2024-08-01
1516914,1050,21,WG-Zimmer,Bredowstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten exklusive),1,11,2024,2024-11-01
1081553,1600,55,Wohnung,Weisestrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,11,2024,2024-11-01
1388527,1850,60,Wohnung,Ermanstrasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
1464617,910,14,WG-Zimmer,Urbanstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),19,6,2024,2024-06-19
1523301,2425,62,Studio,Modersohnstrasse,Studio,Vermietungsunternehmen,(Nebenkosten exklusive),1,7,2024,2024-07-01
1523299,2425,62,Studio,Modersohnstrasse,Studio,Vermietungsunternehmen,(Nebenkosten exklusive),1,7,2024,2024-07-01
1273568,1400,58,Wohnung,Romy-Schneider-Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),1,10,2024,2024-10-01
1135634,2850,83,Wohnung,Greifswalder Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),31,8,2024,2024-08-31
1362477,875,19,WG-Zimmer,Ebertystrasse,WG-Zimmer,Privater Vermieter,(Nebenkosten inklusive),1,9,2024,2024-09-01
1060420,1290,44,Studio,Boeckhstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),12,9,2024,2024-09-12
1327306,2000,68,Wohnung,Kietzer Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),1,7,2024,2024-07-01
1263777,2400,60,Wohnung,Togostrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1364407,1145,14,WG-Zimmer,Fischerinsel,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1457390,680,13,WG-Zimmer,Hainstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1126624,1650,46,Studio,Wangenheimstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1481493,1291,32,Wohnung,Crailsheimer Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,10,2024,2024-10-01
1494491,650,28,WG-Zimmer,Trusetaler Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,11,2024,2024-11-01
1521248,700,25,WG-Zimmer,Schirpitzer Weg,WG-Zimmer,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
578044,660,11,WG-Zimmer,Koloniestrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten inklusive),1,9,2024,2024-09-01
1517881,1500,54,Wohnung,Duesseldorfer Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
1386546,1600,59,Wohnung,Luebecker Strasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),31,5,2024,2024-05-31
1516281,1500,25,Studio,Lehrter Strasse,Studio,Privater Vermieter,(Nebenkosten inklusive),1,6,2024,2024-06-01
1330323,1950,40,Wohnung,Prinzenallee,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1214378,1795,85,Wohnung,Biebricher Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1506912,1500,42,Wohnung,Stralauer Allee,Wohnung,Privater Vermieter,(Nebenkosten inklusive),1,9,2024,2024-09-01
868764,625,12,WG-Zimmer,Weisestrasse,WG-Zimmer,Studentenwohnungen,(Nebenkosten inklusive),1,7,2024,2024-07-01
1063114,3300,95,Wohnung,Wittelsbacherstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,8,2024,2024-08-01
1079467,1730,41,Wohnung,Boxhagener Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten exklusive),8,8,2024,2024-08-08
1355514,1350,35,Wohnung,Lynarstrasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),18,8,2024,2024-08-18
1344544,858,19,WG-Zimmer,Paul-Robeson-Strasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten exklusive),5,9,2024,2024-09-05
1386877,1340,29,Studio,Lortzingstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),6,9,2024,2024-09-06
1009268,1340,35,Wohnung,Pettenkoferstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),3,10,2024,2024-10-03
1271059,1440,48,Wohnung,Hirtenstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),19,10,2024,2024-10-19
1282729,2900,80,Wohnung,Bizetstrasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),16,8,2024,2024-08-16
767835,1380,45,Studio,Wiclefstrasse,Studio,Vermietungsunternehmen,(Nebenkosten inklusive),5,9,2024,2024-09-05
1242907,1150,40,Wohnung,Stadtrandstrasse,Wohnung,Privater Vermieter,(Nebenkosten inklusive),30,9,2024,2024-09-30
1063774,1295,30,Studio,Stralsunder Strasse,Studio,Studentenwohnungen,(Nebenkosten inklusive),1,10,2024,2024-10-01
1039256,1350,39,Wohnung,Bernkastler Strasse,Wohnung,Vermietungsunternehmen,(Nebenkosten inklusive),1,11,2024,2024-11-01
1385070,950,15,WG-Zimmer,Bredowstrasse,WG-Zimmer,Vermietungsunternehmen,(Nebenkosten exklusive),1,10,2024,2024-10-01
